attribute_id|entity_type_id|attribute_code|attribute_model|backend_model|backend_type|backend_table|frontend_model|frontend_input|frontend_label|frontend_class|source_model|is_required|is_user_defined|default_value|is_unique|note|frontend_input_renderer|is_global|is_visible|is_searchable|is_filterable|is_comparable|is_visible_on_front|is_html_allowed_on_front|is_used_for_price_rules|is_filterable_in_search|used_in_product_listing|used_for_sort_by|is_configurable|apply_to|is_visible_in_advanced_search|position|is_wysiwyg_enabled|is_used_for_promo_rules|_options
71|4|name|||varchar|||text|Name|||1|0||0|||0|1|1|0|0|0|0|0|0|1|1|1||1|0|0|0|
72|4|description|||text|||textarea|Description|||1|0||0|||0|1|1|0|1|0|1|0|0|0|0|1||1|0|1|0|
73|4|short_description|||text|||textarea|"Short Description"|||1|0||0|||0|1|1|0|1|0|1|0|0|1|0|1||1|0|1|0|
74|4|sku||catalog/product_attribute_backend_sku|static|||text|SKU|||1|0||1|||1|1|1|0|1|0|0|0|0|0|0|1||1|0|0|0|
75|4|price||catalog/product_attribute_backend_price|decimal|||price|Price|||1|0||0|||2|1|1|1|0|0|0|0|0|1|1|1|simple,configurable,virtual,bundle,downloadable|1|0|0|0|
76|4|special_price||catalog/product_attribute_backend_price|decimal|||price|"Special Price"|||0|0||0|||2|1|0|0|0|0|0|0|0|1|0|1|simple,configurable,virtual,bundle,downloadable|0|0|0|0|
77|4|special_from_date||catalog/product_attribute_backend_startdate_specialprice|datetime|||date|"Special Price From Date"|||0|0||0|||2|1|0|0|0|0|0|0|0|1|0|1|simple,configurable,virtual,bundle,downloadable|0|0|0|0|
78|4|special_to_date||eav/entity_attribute_backend_datetime|datetime|||date|"Special Price To Date"|||0|0||0|||2|1|0|0|0|0|0|0|0|1|0|1|simple,configurable,virtual,bundle,downloadable|0|0|0|0|
79|4|cost||catalog/product_attribute_backend_price|decimal|||price|Cost|||0|1||0|||2|1|0|0|0|0|0|0|0|0|0|1|virtual,downloadable|0|0|0|0|
80|4|weight|||decimal|||weight|Weight|||1|0||0|||1|1|0|0|0|0|0|0|0|0|0|1|simple,bundle|0|0|0|0|
81|4|manufacturer|||int|||select|Manufacturer|||0|1||0|||1|1|1|1|1|0|0|0|0|0|0|1|simple|1|0|0|0|
82|4|meta_title|||varchar|||text|"Meta Title"|||0|0||0|||0|1|0|0|0|0|0|0|0|0|0|1||0|0|0|0|
83|4|meta_keyword|||text|||textarea|"Meta Keywords"|||0|0||0|||0|1|0|0|0|0|0|0|0|0|0|1||0|0|0|0|
84|4|meta_description|||varchar|||textarea|"Meta Description"|||0|0||0|"Maximum 255 chars"||0|1|0|0|0|0|0|0|0|0|0|1||0|0|0|0|
85|4|image|||varchar||catalog/product_attribute_frontend_image|media_image|"Base Image"|||0|0||0|||0|1|0|0|0|0|0|0|0|0|0|1||0|0|0|0|
86|4|small_image|||varchar||catalog/product_attribute_frontend_image|media_image|"Small Image"|||0|0||0|||0|1|0|0|0|0|0|0|0|1|0|1||0|0|0|0|
87|4|thumbnail|||varchar||catalog/product_attribute_frontend_image|media_image|Thumbnail|||0|0||0|||0|1|0|0|0|0|0|0|0|1|0|1||0|0|0|0|
88|4|media_gallery||catalog/product_attribute_backend_media|varchar|||gallery|"Media Gallery"|||0|0||0|||1|1|0|0|0|0|0|0|0|0|0|1||0|0|0|0|
89|4|old_id|||int|||text||||0|0||0|||1|0|0|0|0|0|0|0|0|0|0|1||0|0|0|0|
90|4|group_price||catalog/product_attribute_backend_groupprice|decimal|||text|"Group Price"|||0|0||0|||2|1|0|0|0|0|0|0|0|0|0|1|simple,configurable,virtual,bundle,downloadable|0|0|0|0|
91|4|tier_price||catalog/product_attribute_backend_tierprice|decimal|||text|"Tier Price"|||0|0||0|||2|1|0|0|0|0|0|0|0|0|0|1|simple,configurable,virtual,bundle,downloadable|0|0|0|0|
92|4|color|||int|||select|Color|||0|1||0|||1|1|1|1|1|0|0|0|0|0|0|1|simple|1|0|0|0|
93|4|news_from_date||catalog/product_attribute_backend_startdate|datetime|||date|"Set Product as New from Date"|||0|0||0|||2|1|0|0|0|0|0|0|0|1|0|1||0|0|0|0|
94|4|news_to_date||eav/entity_attribute_backend_datetime|datetime|||date|"Set Product as New to Date"|||0|0||0|||2|1|0|0|0|0|0|0|0|1|0|1||0|0|0|0|
95|4|gallery|||varchar|||gallery|"Image Gallery"|||0|0||0|||1|1|0|0|0|0|0|0|0|0|0|1||0|0|0|0|
96|4|status|||int|||select|Status||catalog/product_status|1|0||0|||2|1|1|0|0|0|0|0|0|1|0|1||0|0|0|0|
97|4|url_key||catalog/product_attribute_backend_urlkey|varchar|||text|"URL Key"|||0|0||0|||0|1|0|0|0|0|0|0|0|1|0|1||0|0|0|0|
98|4|url_path|||varchar|||text||||0|0||0|||0|0|0|0|0|0|0|0|0|0|0|1||0|0|0|0|
99|4|minimal_price|||decimal|||price|"Minimal Price"|||0|0||0|||0|0|0|0|0|0|0|0|0|0|0|1|simple,configurable,virtual,bundle,downloadable|0|0|0|0|
100|4|is_recurring|||int|||select|"Enable Recurring Profile"||eav/entity_attribute_source_boolean|0|0||0|"Products with recurring profile participate in catalog as nominal items."||1|1|0|0|0|0|0|0|0|0|0|0|simple,virtual|0|0|0|0|
101|4|recurring_profile||catalog/product_attribute_backend_recurring|text|||text|"Recurring Payment Profile"|||0|0||0|||1|1|0|0|0|0|0|0|0|0|0|0|simple,virtual|0|0|0|0|
102|4|visibility|||int|||select|Visibility||catalog/product_visibility|1|0|4|0|||0|1|0|0|0|0|0|0|0|0|0|1||0|0|0|0|
103|4|custom_design|||varchar|||select|"Custom Design"||core/design_source_design|0|0||0|||0|1|0|0|0|0|0|0|0|0|0|1||0|0|0|0|
104|4|custom_design_from||catalog/product_attribute_backend_startdate|datetime|||date|"Active From"|||0|0||0|||0|1|0|0|0|0|0|0|0|0|0|1||0|0|0|0|
